hprd|gene_symbol|nuc_acc|pro_acc|entrez|omim|swissprot|name|synonyms
02101|SSR4|NM_006280.1|NP_006271.1|6748|300090|P51571|Signal sequence receptor delta|TRAPD,
02102|FIGF|NM_004469.2|NP_004460.1|2277|300091|O43915|VEGF D|VEGFD,
02103|TEX28|NM_001586.1|NP_001577.1|1527|300092|O15482|TEX28|CXorf2,
02104|GABRE|NM_004961.3|NP_004952.2|2564|300093|P78334|GABA-A receptor, epsilon polypeptide|-
02105|PRKCI|NM_002740.5|NP_002731.4|5584|600539|P41743|Protein kinase C, iota type|DXS1179E,
02106|SLC16A2|NM_006517.2|NP_006508.1|6567|300095|P36021|X linked PEST containing transporter|MCT8,XPCT,
02107|TSPAN7|NM_004615.2|NP_004606.2|7102|300096|P41732|Transmembrane 4 superfamily, member 2|A15,DXS1692E,MXS1,TM4SF2,
02108|MAGEB1|NM_002363.3|NP_002354.2|4112|300097|P43366|MAGE B1 antigen|MAGEL1,MAGEXP,
02109|MAGEB2|NM_002364.3|NP_002355.1|4113|300098|O15479|Melanoma associated antigen B2|-
02110|COL6A2|NM_001849.3|NP_001840.3|1292|120240|P12110|Collagen type VI alpha 2|-
02111|BMX|NM_203281.1|NP_975010.1|660|300101|P51813|Bone marrow kinase BMX|-
02112|PNPLA4|NM_004650.1|NP_004641.1|8228|300102|P41247|GS2|DXS1283E,GS2,
02113|SHROOM2|NM_001649.2|NP_001640.1|357|300103|Q13796|Shroom family member 2|APXL,
02114|GDI1|NM_001493.1|NP_001484.1|2664|300104|P31150|GDP dissociation inhibitor 1|GDIL,OPHN2,RABGDIA,XAP4,
02115|SMS|NM_004595.2|NP_004586.2|6611|300105|P52788|Spermine synthase|-
02116|BRS3|NM_001727.1|NP_001718.1|680|300107|P32247|Bombesin like receptor 3|-
02117|DIAPH2|NM_006729.3|NP_006720.1|1730|300108|O60879|Diaphanous protein homolog 2|DIA,
02118|PPEF1|NM_006240.2|NP_006231.2|5475|300109|O14829|Serine/threonine protein phosphatase with EF-hands-1|PPEF,PPP7C,
02119|CACNA1F|NM_005183.2|NP_005174.2|778|300110|O60840|Calcium channel, voltage dependent, alpha 1F subunit|CACNAF1,
02120|LMO6|NM_006150.3|NP_006141.2|4007|300111|O43900|LIM domain only 6|-
02121|PLP2|NM_002668.1|NP_002659.1|5355|300112|Q04941|Proteolipid protein 2|A4,
02122|MTCP1|NM_001018025.2|NP_001018025.1|4515|300116|P56278|Mature T cell proliferation 1|C6.1B,
02123|NAP1L3|NM_004538.3|NP_004529.2|4675|300117|Q99457|Nucleosome assembly protein 1 like 3|BNAP,
02124|ARHGAP6|NM_013427.2|NP_038286.2|395|300118|O43182|RhoGAP6|RHOGAP6,
02125|IL13RA1|NM_001560.2|NP_001551.1|3597|300119|P78552|Interleukin 13 receptor, alpha 1|IL13R,IL13RA,
02126|CXorf6|NM_005491.2|NP_005482.2|10046|300120|Q13495|CXorf6 protein|-
02127|DCX|NM_000555.2|NP_000546.2|1641|300121|O43602|Doublecortin|DBCN,LISX,
02128|GTPBP6|NM_012227.1|NP_036359.1|8225|300124|-|PGPL|PGPL,
02129|DKC1|NM_001363.2|NP_001354.1|1736|300126|O60832|Dyskerin|NOLA4,
02130|OPHN1|NM_002547.1|NP_002538.1|4983|300127|O60890|Oligophrenin 1|-
02131|UTX|NM_021140.1|NP_066963.1|7403|300128|O15550|Ubiquitously transcribed TPR protein on the X chromosome|-
02132|IL13RA2|NM_000640.2|NP_000631.1|3598|300130|Q14627|Interleukin 13 receptor, alpha 2|IL13R,
02133|PLS3|NM_005032.3|NP_005023.2|5358|300131|P13797|Plastin 3|-
02134|TRO|NM_001039705.1|NP_001034794.1|7216|300132|Q12816|Trophinin|KIAA1114,MAGED3,
02135|VBP1|NM_003372.4|NP_003363.1|7411|300133|P61758|VHL binding protein 1|PFDN3,
02136|DUSP9|NM_001395.1|NP_001386.1|1852|300134|Q99956|Dual specificity phosphatase 9|MKP4,
02137|ABCB7|NM_004299.3|NP_004290.2|22|300135|O75027|ATP binding cassette subfamily B member 7|ABC7,
02138|IGSF1|NM_001555.2|NP_001546.2|3547|300137|-|Immunoglobulin superfamily member 1|IGDC1,KIAA0364,PGSF2,
02139|CLIC2|NM_001289.4|NP_001280.3|1193|300138|O15247|Chloride intracellular channel 2|-
02140|IGBP1|NM_001551.2|NP_001542.1|3476|300139|P78318|Immunoglobulin-binding protein 1|IBP1,
02141|PPP6C|NM_002721.3|NP_002712.1|5537|300141|O00743|Serine/threonine protein phosphatase 6|PPP6,
02142|PAK3|NM_002578.2|NP_002569.1|5063|300142|O75914|p21 activated kinase 3|OPHN3,
02143|GLUD2|NM_012084.3|NP_036216.2|2747|300144|P49448|Glutamate dehydrogenase 2|GLUDP1,
02144|XPNPEP2|NM_003399.5|NP_003390.4|7512|300145|O43895|X-Prolyl aminopeptidase 2|-
02145|CAPN6|NM_014289.2|NP_055104.2|827|300146|Q9Y6Q1|Calpain 6|CALPM,CANPX,
02146|CITED1|NM_004143.2|NP_004134.1|4435|300149|Q99966|Melanocyte-specific protein 1|MSG1,
02147|SLC25A5|NM_001152.1|NP_001143.1|292|300150|P05141|Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5|ANT2,
02148|ACTN3|NM_001104.1|NP_001095.1|89|102574|Q08043|Actinin alpha 3|-
02149|MAGEB3|NM_002365.3|NP_002356.2|4114|300152|O15480|Melanoma associated antigen B3|-
02150|MAGEB4|NM_002367.2|NP_002358.1|4115|300153|O15481|Melanoma associated antigen B4|-
02151|CTAG1B|NM_001327.1|NP_001318.1|1485|300156|P78358|CTAG1|CTAG,CTAG1,ESO1,LAGE2,LAGE2A,LAGE2B,
02152|ACSL4|NM_022977.1|NP_075266.1|2182|300157|O60488|Acyl CoA synthetase long chain family member 4|ACS4,FACL4,LACS4,
02153|TMSB4X|NM_021109.2|NP_066932.1|7114|300159|P62328|Thymosin, beta-4|TB4X,THYB4,TMSB4,
02154|DDX3X|NM_001356.3|NP_001347.3|1654|300160|O00571|DDX3|DBX,DDX3,
02155|EIF2S3|NM_001415.3|NP_001406.1|1968|300161|P41091|Eukaryotic translation initiation factor 2, subunit 3|EIF2G,
02156|ASMTL|NM_004192.2|NP_004183.2|8623|400011|O95671|Acetylserotonin methyltransferase-like|-
02157|FHL1|NM_001449.3|NP_001440.2|2273|300163|Q13642|FHL1|SLIM1,
02159|HEPH|NM_138737.1|NP_620074.1|9843|300167|Q9BQS7|Hephaestin|KIAA0698,
02160|GPC4|NM_001448.2|NP_001439.2|2239|300168|O75487|Glypican 4|-
02161|AIFM1|NM_004208.2|NP_004199.1|9131|300169|O95831|Programmed cell death 8|AIF,PDCD8,
02162|OFD1|NM_003611.1|NP_003602.1|8481|300170|O75665|OFD1|CXorf5,
02163|MTMR1|NM_003828.2|NP_003819.1|8776|300171|Q13613|Myotubularin related protein 1|-
02164|CASK|NM_003688.1|NP_003679.1|8573|300172|O14936|CASK|LIN2,
02165|MAGEA2|NM_175743.1|NP_786885.1|4101|300173|P43356|MAGEA2|MAGE2,MAGEA2A,MAGE2,MAGEA2,
02166|MAGEA3|NM_005362.3|NP_005353.1|4102|300174|P43357|MAGEA3|MAGE3,
02167|MAGEA4|NM_002362.4|NP_002353.3|4103|300175|P43358|MAGEA4|MAGE4,
02168|MAGEA6|NM_005363.2|NP_005354.1|4105|300176|P43360|MAGEA6|MAGE6,
02169|MAGEA12|NM_005367.4|NP_005358.2|4111|300177|P43365|MAGEA12|MAGE12,
02170|ZBED1|NM_004729.3|NP_004720.1|9189|300178|O96006|TRAMP|ALTE,DREF,KIAA0785,TRAMP,
02171|ARSE|NM_000047.1|NP_000038.1|415|300180|P51690|Arylsulfatase E|-
02172|CRSP2|NM_004229.2|NP_004220.2|9282|300182|O60244|CRSP2|-
02173|AKAP4|NM_003886.2|NP_003877.2|8852|300185|Q5JQC9|A kinase anchor protein 4|AKAP82,
02174|EIF1AX|NM_001412.3|NP_001403.1|1964|300186|P47813|Eukaryotic translation initiation factor 1A|EIF1A,EIF4C,
02175|SRPX|NM_006307.3|NP_006298.1|8406|300187|P78539|Sushi repeat-containing protein SRPX|ETX1,
02176|MED12|NM_005120.2|NP_005111.2|9968|300188|Q93074|TRAP230|ARC240,CAGH45,HOPA,KIAA0192,TNRC11,TRAP230,
02177|DLG3|NM_021120.2|NP_066943.2|1741|300189|Q92796|Synapse-associated protein 102|KIAA1232,
02178|SH3BGRL|NM_003022.1|NP_003013.1|6451|300190|O75368|SH3BGRL|-
02179|TSPAN6|NM_003270.2|NP_003261.1|7105|300191|O43657|Tetraspanin 6|TM4SF6,
02180|SSX2|NM_003147.4|NP_003138.3|6757|300192|Q16385|SSX2|SSX2A,
02181|HMGB3|NM_005342.2|NP_005333.2|3149|300193|O15347|High mobility group protein 4|HMG2A,HMG4,
02182|AMMECR1|NM_015365.2|NP_056180.1|9949|300195|Q9Y4X0|AMMECR1 protein|-
02183|TBL1X|NM_005647.2|NP_005638.1|6907|300196|O60907|TBL1X|TBL1,
02184|ATP6AP1|NM_001183.4|NP_001174.2|537|300197|Q15904|ATP6IP1|ATP6IP1,ATP6S1,VATPS1,XAP3,
02185|GYG2|NM_003918.2|NP_003909.2|8908|300198|O15488|Glycogenin 2|-
02186|RBMX|NM_002139.2|NP_002130.2|27316|300199|P38159|RBMX|HNRPG,RBMXP1,
02187|DPP4|NM_001935.3|NP_001926.2|1803|102720|P27487|Dipeptidyl peptidase IV|ADCP2,CD26,
02188|CYSLTR1|NM_006639.2|NP_006630.1|10800|300201|Q9Y271|Cysteinyl leukotriene receptor 1|CYSLT1,
02189|TRAPPC2|NM_014563.3|NP_055378.1|6399|300202|O14582|Sedlin|SEDL,
02190|CDKL5|NM_003159.2|NP_003150.1|6792|300203|O76039|Serine/threonine protein kinase 9|STK9,
02191|MID2|NM_012216.2|NP_036348.1|11043|300204|Q9UJV3|Midline 2|FXY2,RNF60,TRIM1,
02192|EBP|NM_006579.1|NP_006570.1|10682|300205|Q15125|Emopamil binding protein|-
02193|IL1RAPL1|NM_014271.2|NP_055086.1|11141|300206|Q9NZN1|Interleukin 1 receptor 8|OPHN4,
02194|GPR50|NM_004224.1|NP_004215.1|9248|300207|Q13585|G Protein-coupled receptor 50|-
02195|SCML2|NM_006089.1|NP_006080.1|10389|300208|Q9UQR0|Sex comb on midleg like 2|-
02196|RGN|NM_004683.4|NP_004674.1|9104|300212|Q15493|Regucalcin|SMP30,
02197|CXX1|NM_001078171.1|NP_001071639.1|8933|300213|O15255|CAAX box protein 1|-
02198|PLXNB3|NM_005393.1|NP_005384.2|5365|300214|Q9ULL4|Plexin B3|KIAA1206,PLXN6,
02199|RAI2|NM_021785.2|NP_068557.1|10742|300217|Q9Y5P3|Retinoic acid induced protein 2|-
02200|ITM2A|NM_004867.3|NP_004858.1|9452|300222|O43736|Integral membrane protein 2A|-
02201|MAGEC1|NM_005462.3|NP_005453.2|9947|300223|O60732|Melanoma associated antigen C1|-
02202|MAGED1|NM_001005333.1|NP_001005333.1|9500|300224|Q9Y5V3|Melanoma antigen family D, 1|NRAGE,
02203|NOX1|NM_007052.4|NP_008983.2|27035|300225|Q9Y5S8|NADPH oxidase 1|NOH1,
02204|SMPX|NM_014332.1|NP_055147.1|23676|300226|Q9UHP9|Small muscular protein|SRMX,
02205|SCML1|NM_001037540.1|NP_001032629.1|6322|300227|Q9UN30|Sex comb on midleg like 1|-
02206|VCX|NM_013452.2|NP_038480.2|26609|300229|Q9H320|Variably charged protein X-A|VCX1,VCX10R,VCXB1,
02207|CA5B|NM_007220.3|NP_009151.1|11238|300230|Q9Y2D0|Carbonic anhydrase VB, mitochondrial|-
02208|SLC9A6|NM_001042537.1|NP_001036002.1|10479|300231|Q92581|Solute carrier family 9, isoform A6|KIAA0267,NHE6,
02209|UXT|NM_153477.1|NP_705582.1|8409|300234|Q9UBK9|Ubiquitously expressed transcript protein|-
02210|ZXDA|NM_007156.3|NP_009087.1|7789|300235|P98168|Zinc finger encoding gene. X-linked, duplicated A|-
02211|TCEAL1|NM_004780.2|NP_004771.2|9338|300237|Q15170|Transcription elongation factor A- like1|SIIR,
02212|EGFL6|NM_015507.2|NP_056322.2|25975|300239|-|Epidermal growth factor- like 6|MAEG,
02213|GPR34|NM_005300.3|NP_005291.1|2857|300241|Q9UPC5|G protein coupled receptor 34|-
02214|SLC25A14|NM_003951.2|NP_003942.1|9016|300242|O95258|Solute carrier family 25 member 14|BMCP1,UCP5,
02215|PCDH11X|NM_032968.2|NP_116750.1|27328|300246|Q9BZA7|Protocadherin 11 X linked|KIAA1326,PCDH11,PCDHX,
02216|BMP15|NM_005448.1|NP_005439.1|9210|300247|O95972|Bone morphogenetic protein 15|GDF9B,
02217|IKBKG|NM_003639.3|NP_003630.1|8517|300248|Q9Y6K9|Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma|FIP3,NEMO,
02218|TIMM17B|NM_005834.1|NP_005825.1|10245|300249|O60830|Mitochondrial import inner membrane translocase subunit Tim17 B|TIM17B,
02219|PIN4|NM_006223.2|NP_006214.2|5303|300252|Q9Y237|Peptidyl prolyl cis/trans isomerase nima interacting, 4|-
02220|GPR173|NM_018969.3|NP_061842.1|54328|300253|Q9NS66|Superconserved receptor expressed in brain 3|SREB3,
02221|SUV39H1|NM_003173.2|NP_003164.1|6839|300254|O43463|Histone H3 K9 methyltransferase 1|KMT1A,SUV39H,
02222|OGT|NM_181672.1|NP_858058.1|8473|300255|O15294|O-linked N-acetylglucosamine transferase|-
02223|HSD17B10|NM_004493.2|NP_004484.1|3028|300256|Q99714|Hydroxyacyl CoA dehydrogenase, type II|ERAB,HADH2,SCHAD,XH98G2,
02224|UBQLN2|NM_013444.2|NP_038472.2|29978|300264|Q9UHD9|Ubiquilin 2|N4BP4,PLIC2,
02225|ZIC3|NM_003413.2|NP_003404.1|7547|300265|O60481|Zinc finger protein ZIC3|-
02226|ARHGEF6|NM_004840.2|NP_004831.1|9459|300267|Q15052|Rho guanine nucleotide exchange factor 6|COOL2,KIAA0006,PIXA,
02227|HDAC8|NM_018486.1|NP_060956.1|55869|300269|Q9BY41|Histone deacetylase 8|HDACL1,
02228|HDAC6|NM_006044.2|NP_006035.2|10013|300272|Q9UBN7|Histone deacetylase 6|-
02229|NSDHL|NM_015922.1|NP_057006.1|50814|300275|Q15738|NAD(P)H steroid dehydrogenase like protein|H105E3,
02230|EDA2R|AY152724.1|AAN73210.1|60401|300276|Q9HAV5|X-linked ectodysplasin receptor|TNFRSF27,XEDAR,
02231|IL1RAPL2|NM_017416.1|NP_059112.1|26280|300277|Q9NP60|Interleukin 1 receptor 9|IL1R9,
02232|NYX|NM_022567.1|NP_072089.1|60506|300278|Q9GZU5|Nyctalopin|CLRP,
02233|KCND1|NM_004979.4|NP_004970.3|3750|300281|Q9NSA2|Potassium voltage gated channel, shal related subfamily member 1|-
02234|COVA1|NM_182314.1|NP_872114.1|10495|300282|Q16206|Tumor associated hydroquinone oxidase|-
02235|IRAK1|NM_001569.3|NP_001560.2|3654|300283|P51617|Interleukin 1 receptor associated kinase 1|IRAK,
02236|RAB9A|NM_004251.3|NP_004242.1|9367|300284|P51151|Ras associated protein RAB9|RAB9,
02237|RAB9B|NM_016370.1|NP_057454.1|51209|300285|Q9NP90|RAS associated protein 9B|RAB9L,
02238|KLF8|NM_007250.3|NP_009181.2|11279|300286|O95600|Krupple like factor 8|BKLF3,ZNF741,
02239|PAGE4|NM_007003.2|NP_008934.1|9506|300287|O60829|G antigen family C 1|GAGEC1,
02240|PAGE1|NM_003785.3|NP_003776.2|8712|300288|O75459|G antigen family B 1|GAGE9,GAGEB1,
02241|XAGE1|NM_133431.2|NP_597674.1|9503|300289|Q9HD64|G antigen, family D 2|GAGED2,XAGE1A,
02242|FOXP3|NM_014009.2|NP_054728.2|50943|300292|Q9BZS1|Forkhead box protein P3|IPEX,
02243|MBTPS2|NM_015884.1|NP_056968.1|51360|300294|O43462|S2P endopeptidase|S2P,
02244|PIM2|NM_006875.2|NP_006866.2|11040|300295|Q9P1W9|Serine/threonine-protein kinase Pim-2|-
02245|PLAC1|NM_021796.3|NP_068568.1|10761|300296|Q9HBJ0|Placenta specific gene 1|-
02246|APLN|NM_017413.3|NP_059109.3|8862|300297|Q9ULZ1|Apelin|APEL,
02247|UPF3B|NM_080632.1|NP_542199.1|65109|300298|Q9BZI7|UPF3B|RENT3B,UPF3X,
02248|BTK|NM_000061.1|NP_000052.1|695|300300|Q06187|Bruton`s tyrosine kinase|AGMX1,ATK,BPK,
02249|DYNLT3|NM_006520.1|NP_006511.1|6990|300302|P51808|T complex associated testis expressed 1 like|TCTE1L,TCTE1XL,
02250|RPS6KA6|NM_014496.2|NP_055311.1|27330|300303|Q9UK32|Ribosomal S6 kinase 4|RSK4,
02251|CUL4B|NM_003588.3|NP_003579.3|8450|300304|Q13620|Culin 4B|KIAA0695,
02252|SPANXA1|NM_013453.2|NP_038481.2|30014|300305|Q9NS26|SPANXA|SPANXA,
02253|TBX22|NM_016954.2|NP_058650.1|50945|300307|Q9Y458|T box transcription factor TBX22|TBOX22,
02254|FTHL17|NM_031894.1|NP_114100.1|53940|300308|Q9BXU8|Ferritin heavy polypeptide-like 17|-
02255|USP26|NM_031907.1|NP_114113.1|83844|300309|Q9BXU7|Ubiquitin specific protease 26|-
02256|TEX11|NM_001003811.1|NP_001003811.1|56159|300311|-|TEX11|-
02257|TEX13A|NM_031274.3|NP_112564.1|56157|300312|Q9BXU3|TEX13A|-
02258|TEX13B|NM_031273.2|NP_112563.1|56156|300313|Q9BXU2|TEX13B|-
02259|TAF7L|NM_024885.2|NP_079161.2|54457|300314|-|TAF7L|TAF2Q,
02260|NXF2|NM_017809.3|NP_060279.2|56001|300315|Q9GZY0|NXF2|TAPL2,
02261|NXF3|NM_022052.1|NP_071335.1|56000|300316|Q9H4D5|NXF3|TAPL3,
02262|REPS2|AF010233.1|Q8NFH8|9185|300317|Q8NFH8|RalBP1 interacting protein 2|POB1,
02263|NXF5|NM_032946.1|NP_116564.1|55998|300319|Q9H1B4|NXF5|TAPL1,
02264|NXT2|NM_018698.3|NP_061168.2|55916|300320|Q9NPJ8|NTF2 like export factor 2|-
02265|SSX3|NM_021014.2|NP_066294.1|10214|300325|Q99909|SSX3|-
02266|SSX4|NM_005636.3|NP_005627.1|6759|300326|O60224|SSX4|SSX4A,
02267|SSX5|NM_021015.3|NP_066295.3|6758|300327|O60225|SSX5|-
02268|KCNE1L|NM_012282.2|NP_036414.1|23630|300328|Q9UJ90|AMMECR2 protein|KCNE5,
02269|ZBTB33|BC042753.1|AAH42753.1|10009|300329|Q86T24|KAISO|KAISO,ZNF348,
02270|SPANXC|NM_022661.2|NP_073152.1|64663|300330|Q9NY87|SPANXC|-
02271|ITGB1BP2|NM_012278.1|NP_036410.1|26548|300332|Q9UKP3|Melusin|-
02272|RAB33A|NM_004794.2|NP_004785.1|9363|300333|Q14088|Ras associated protein Rab33A|RABS10,
02273|TRPC5|NM_012471.2|NP_036603.1|7224|300334|Q9UL62|TRPC5|TRP5,
02274|ACE2|NM_021804.1|NP_068576.1|59272|300335|Q9BYF1|Anigotensin 1 converting enzyme 2|-
02275|NLGN3|NM_018977.2|NP_061850.2|54413|300336|Q9NZ94|Neuroligin 3|KIAA1480,NL3,
02276|PPP2R3B|NM_013239.3|NP_037371.2|28227|300339|Q9Y5P8|Protein phostase 2A regulatory subunit, 48kD|PPP2R3L,
02277|MAGEA5|NM_021049.3|NP_066387.1|4104|300340|P43359|MAGEA5|MAGE5,
02278|MAGEA8|NM_005364.3|NP_005355.2|4107|300341|P43361|MAGEA8|MAGE8,
02279|MAGEA9|NM_005365.4|NP_005356.1|4108|300342|P43362|MAGEA9|MAGE9,
02280|MAGEA10|NM_021048.3|NP_066386.1|4109|300343|P43363|MAGEA10|MAGE10,
02281|MAGEA11|NM_005366.4|NP_005357.2|4110|300344|P43364|MAGEA11|MAGE11,
02282|HTATSF1|NM_014500.3|NP_055315.2|27336|300346|O43719|TATSF1|-
02283|KLHL4|NM_057162.1|NP_476503.1|56062|300348|Q9C0H6|Kelch like 4|KIAA1687,
02284|GABRQ|NM_018558.1|NP_061028.1|55879|300349|Q9UN88|Gamma aminobutyric acid receptor theta|-
02285|CHRDL1|NM_145234.2|NP_660277.2|91851|300350|Q9BU40|Ventroptin|NRLN1,
02286|VSIG4|NM_007268.1|NP_009199.1|11326|300353|Q9Y279|Immunoglobulin superfamily protein Z39IG|Z39IG,
02287|TIMM8A|NM_004085.2|NP_004076.1|1678|300356|O60220|TIM8A|DDP,DDP1,TIM8A,
02288|CRLF2|NM_022148.2|NP_071431.2|64109|400023|Q9HC73|Cytokine receptor like factor 2|ILXR,TSLPR,
02289|WNK3|NM_020922.2|NP_065973.2|65267|300358|Q9BYP7|Protein kinase lysine deficient 3|KIAA1566,PRKWNK3,
02290|SAGE1|NM_018666.2|NP_061136.2|55511|300359|-|SAGE|SAGE,
02291|NGFRAP1|NM_014380.1|NP_055195.1|27018|300361|Q00994|NGFR associated protein 1|BEX3,DXS6984E,NADE,
02292|ARMCX1|NM_016608.1|NP_057692.1|51309|300362|Q9P291|ALEX1|ALEX1,
02293|ARMCX2|NM_014782.4|NP_055597.1|9823|300363|Q7L311|ALEX2|ALEX2,KIAA0512,
02294|ARMCX3|NM_016607.3|NP_057691.1|51566|300364|Q9UH62|ALEX3|ALEX3,
02295|TLR7|NM_016562.3|NP_057646.1|51284|300365|Q9NYK1|Toll-like receptor 7|-
02296|TLR8|NM_016610.2|NP_057694.2|51311|300366|Q9NR97|Toll-like receptor 8|-
02297|SLC9A7|NM_032591.1|NP_115980.1|84679|300368|Q96T83|Solute carrier family 9, isoform 7|NHE7,
02298|ACRC|NM_052957.3|NP_443189.1|93953|300369|-|ACRC protein|-
02299|TREX2|NM_017518.5|NP_059988.3|11219|300370|Q9BQ50|3`-5` exonuclease TREX2|-
02300|ABCD1|NM_000033.2|NP_000024.2|215|300371|P33897|ABCD1|ALD,
02301|SH3KBP1|NM_031892.1|NP_114098.1|30011|300374|Q96B97|SH3 domain kinase binding protein 1|CIN85,
02302|CHST7|NM_019886.2|NP_063939.2|56548|300375|Q9NS84|Chondroitin 6 sulfotransferase 2|-
02303|DMD|NM_004006.1|NP_003997.1|1756|300377|P11532|Dystrophin|-
02304|RNF12|NM_183353.1|NP_899196.1|51132|300379|Q9NVW2|Ring finger protein 12|RLIM,
02305|CTPS2|NM_019857.3|NP_062831.3|56474|300380|Q9NRF8|CTP synthetase 2|-
02306|ZNF185|NM_007150.2|NP_009081.2|7739|300381|O15231|Zinc finger protein 185|-
02307|ARX|NM_139058.1|NP_620689.1|170302|300382|Q96QS3|Aristaless related homeobox, X-linked|-
02308|CFP|NM_002621.1|NP_002612.1|5199|300383|P27918|Properdin|PFC,
02309|EMD|NM_000117.1|NP_000108.1|2010|300384|P50402|Emerin|EDMD,STA,
02310|NSBP1|NM_030763.1|NP_110390.1|79366|300385|P82970|Nucleosomal binding protein 1|-
02311|CD40LG|NM_000074.2|NP_000065.1|959|300386|P29965|Tumor necrosis factor ligand superfamily member 5|CD40L,TNFSF5,TRAP,
02312|CHM|NM_000390.2|NP_000381.1|1121|300390|P24386|Rab geranylgeranyltransferase, component A|REP1,TCD,
02313|AMELX|NM_182680.1|NP_872621.1|265|300391|Q99217|Amelogenin|AMG,AMGX,
02314|WAS|NM_000377.1|NP_000368.1|7454|300392|P42768|Wiskott-aldrich syndrome protein|IMD2,
02315|GPR101|NM_054021.1|NP_473362.1|83550|300393|Q96P66|G protein coupled receptor 101|-
02316|TAZ|NM_000116.2|NP_000107.1|6901|300394|Q16635|Tafazzin|EFE2,G4.5,
02317|THOC2|NM_001081550.1|NP_001075019.1|57187|300395|Q8NI27|Tho2|CXorf3,
02318|CTAG2|NM_020994.2|NP_066274.1|30848|300396|O75638|Cancer-testis antigen 2|ESO2,LAGE1,
02319|BCAP31|NM_005745.6|NP_005736.3|10134|300398|P51572|BAP31|BAP31,DXS1357E,
02320|PCSK1N|NM_013271.2|NP_037403.1|27344|300399|Q9UHG2|Proprotein convertase subtilisin/kexin type 1 inhibitor|-
02321|PLP1|NM_000533.3|NP_000524.3|5354|300401|P60201|Myelin proteolipid protein|PLP,
02322|LDOC1|NM_012317.2|NP_036449.1|23641|300402|O95751|Leucine zipper downregulated in cancer 1|BCUR1,
02323|NDUFB11|NM_019056.3|NP_061929.2|54539|300403|Q9NX14|Neuronal protein 17.3|-
02324|PABPC5|NM_080832.1|NP_543022.1|140886|300407|Q96DU9|Polyadenylate binding protein 5|PABP5,
02325|GRIPAP1|NM_020137.3|NP_064522.3|56850|300408|Q4V328|GRIP1 associated protein 1|KIAA1167,
02326|MORF4L2|NM_012286.1|NP_036418.1|9643|300409|Q15014|Mortality factor 4 like 2|KIAA0026,MRGX,
02327|AMOT|NM_133265.2|NP_573572.1|154796|300410|Q4VCS5|Angiomotin|KIAA1071,
02328|TGIF2LX|NM_138960.3|NP_620410.3|90316|300411|Q8IUE1|TGFB induced factor 2 like X linked|TGIFLX,
02329|MBNL3|NM_018388.2|NP_060858.2|55796|300413|Q9NUK0|Muscleblind like protein 3|CHCR,MBLX39,MBXL,
02330|PHF6|NM_032458.2|NP_115834.1|84295|300414|Q8IWS0|PHD finger protein 6|KIAA1823,
02331|MTM1|NM_000252.1|NP_000243.1|4534|300415|Q13496|Myotubularin|CG2,
02332|XAGE2|NM_130777.1|NP_570133.1|9502|300416|Q96GT9|G antigen family D 3|GAGED3,
02333|GPRASP1|NM_014710.3|NP_055525.3|9737|300417|Q5JY77|G protein coupled receptor associated sorting protein 1|GASP,KIAA0443,
02334|GSPT2|NM_018094.2|NP_060564.2|23708|300418|-|G1 to S phase transition 2|-
02335|PJA1|NM_145119.2|NP_660095.1|64219|300420|Q8NG27|Ubiquitin protein ligase Praja1|RNF70,
02336|NLGN4X|NM_020742.2|NP_065793.1|57502|300427|Q8N0W4|Neuroligin 4|KIAA1260,NLGN4,
02337|ARHGEF9|NM_015185.1|NP_056000.1|23229|300429|O43307|RHO guanine nucleotide exchange factor 9|KIAA0424,
02338|PGRMC1|NM_006667.2|NP_006658.1|10857|300435|O00264|Progesterone receptor membrane component 1|HPR6.6,PGRMC,
02339|ERAS|NM_181532.2|NP_853510.1|3266|300437|Q7Z444|ERAS|HRAS2,HRASP,
02340|RNF128|NM_194463.1|NP_919445.1|79589|300439|Q8TEB7|Ring finger protein 128|GRAIL,
02341|NKRF|NM_017544.2|NP_060014.2|55922|300440|O15226|Nuclear factor kappa B repressing factor|ITBA4,NRF,
02342|CXorf9|NM_018990.2|NP_061863.1|54440|300441|O75995|SH3 protein expressed in lymphocytes|-
02343|SLC7A3|NM_032803.4|NP_116192.4|84889|300443|Q8WY07|Solute carrier family 7 member 3|ATRC3,CAT3,
02344|SLC6A14|NM_007231.1|NP_009162.1|11254|300444|Q9UN76|Solute carrier family 6 (neurotransmitter transporter) member 14|-
02346|FATE1|NM_033085.2|NP_149076.1|89885|300450|Q969F0|FATE|FATE,
02347|EDA|NM_001399.4|NP_001390.1|1896|300451|Q92838|Ectodysplasin A|ED1,EDA2,
02349|FAM50A|NM_004699.1|NP_004690.1|9130|300453|Q14320|XAP5 protein|DXS9928E,HXC26,XAP5,
02350|CCNB3|NM_033031.2|NP_149020.2|85417|300456|Q8WWL7|Cyclin B3|CYCB3,
02351|NHS|NM_198270.2|NP_938011.1|4810|300457|Q6T4R5|NHS|-
02352|TNMD|NM_022144.1|NP_071427.1|64102|300459|Q9H2S6|Tenomodulin|CHM1L,
02353|AKAP14|NM_178813.5|NP_848928.1|158798|300462|Q86UN6|A kinase (PRKA) anchor protein 14|AKAP28,
